question,category,question_type,image_path,reference_answer,model_output,reasoning,is_correct
"In this flowchart diagram, what is the next step after 'p = p + 2'?",large,1,../images_predict/flowchart-example150.png,The next step after 'p = p + 2' is 'Is p even?'.,"Based on the flowchart diagram provided, the next step after `p = p + 2` is the decision point **""Is p even?""**.","The key object in both the reference answer and the model output is 'Is p even?'. The wording is identical, and both refer to the same decision point in the flowchart. Therefore, the model output is correct.",True
"In this flowchart diagram, if 'Dose S = 0?' is 'No', what is the next step?",large,2,../images_predict/flowchart-example150.png,"If 'Dose S = 0?' is 'No', the next step is 'p = p + 2'.","If ""Does S = 0?"" is ""No,"" the next step in the flowchart is to loop back to the decision point **""Is p < S?""**.","The key object in the reference answer is 'p = p + 2', while the model output identifies the next step as 'Is p < S?'. These are different steps in the flowchart. Therefore, the model output is incorrect.",False
"In this flowchart diagram, if 'Is p < S?' is 'No', what is the next step?",large,2,../images_predict/flowchart-example150.png,"If 'Is p < S?' is 'No', the next step is 'S = S - 1'.","In the flowchart diagram, if the decision ""Is p < S?"" results in ""No,"" the next step is the process **S = S - 1**.","The key object in both the reference answer and the model output is 'S = S - 1'. They match exactly, so the model output is correct.",True
"In this flowchart diagram, if 'Lamp plugged in?' is 'No', what is the next step?",small,2,../images_predict/flowchart-example020.png,"If 'Lamp plugged in?' is 'No', the next step is 'Plug in lamp'.","Based on the flowchart diagram provided, if the answer to ""Lamp plugged in?"" is ""No,"" the next step is **""Plug in lamp.""**","The key object in both the reference answer and the model output is 'Plug in lamp.' They match exactly, so the model output is correct.",True
"In this flowchart diagram, if 'Bulb burned out?' is 'No', what is the next step?",small,2,../images_predict/flowchart-example020.png,"If 'Bulb burned out?' is 'No', the next step is 'Repair lamp'.","Based on the flowchart diagram provided, if the answer to ""Bulb burned out?"" is **""No""**, the next step is to **""Repair lamp""**.","The key object in both the reference answer and the model output is 'Repair lamp'. The wording matches exactly, so the model output is correct according to the evaluation criteria.",True
"In this flowchart diagram, if 'Bulb burned out?' is 'Yes', what is the next step?",small,2,../images_predict/flowchart-example020.png,"If 'Bulb burned out?' is 'Yes', the next step is 'Replace bulb'.","Based on the flowchart diagram provided, if the decision ""Bulb burned out?"" is ""Yes,"" the next step is **""Replace bulb.""**","The key object in both the reference answer and the model output is 'Replace bulb.' They match exactly, so the model output is correct.",True
"In this flowchart diagram, if 'Have you adapted the figure?' is 'Yes', what is the next step?",large,2,../images_predict/flowchart-example117.png,"If 'Have you adapted the figure?' is 'Yes', the next step is 'STM Permissions Guidelines do not apply'.","If ""Have you adapted the figure?"" is answered ""Yes,"" the next step in the flowchart is **""STM Permissions Guidelines do not apply.""**","The key object in both the reference answer and the model output is 'STM Permissions Guidelines do not apply.' The wording matches exactly, so the model output is correct.",True
"In this flowchart diagram, what is the next step after 'Obtain permission from the copyright owner (this is usually the creator)'?",large,1,../images_predict/flowchart-example117.png,The next step after 'Obtain permission from the copyright owner (this is usually the creator)' is 'Send permission to relevant IOP joumal/ebook mailbox as evidence of permission'.,"Based on the flowchart diagram provided, the next step after **""Obtain permission from the copyright owner (this is usually the creator)""** is:

**""Send permission to relevant IOP journal/ebook mailbox as evidence of permission.""**","The key object in both the reference answer and the model output is 'Send permission to relevant IOP journal/ebook mailbox as evidence of permission.' The wording matches exactly, and the core object is the same. Therefore, the model output is correct.",True
"In this flowchart diagram, what is the next step after 'obtain permission from the copyright owner(usually the publisher)'?",large,1,../images_predict/flowchart-example117.png,The next step after 'obtain permission from the copyright owner(usually the publisher)' is 'Send permission to relevant IOP joumal/ebook mailbox as evidence of permission'.,"Based on the flowchart diagram provided, the next step after ""Obtain permission from the copyright owner (usually the publisher)"" is:

**""Send permission to relevant IOP journal/ebook mailbox as evidence of permission.""**","The key object in both the reference answer and the model output is 'Send permission to relevant IOP journal/ebook mailbox as evidence of permission.' The wording matches exactly, so the model output is correct.",True
"In this flowchart diagram, if 'Testing' is 'No', what is the next step?",medium,2,../images_predict/flowchart-example029.webp,"If 'Testing' is 'No', the next step is 'Refinement'.","Based on the flowchart diagram provided, if the decision at ""Testing"" is ""No,"" the next step is **""Refinement.""**","The key object in both the reference answer and the model output is 'Refinement'. They match exactly, so the model output is correct.",True
